,NOC_CNP,NOC_Title,Titre_CNP,PROV,ER_Code_Code_RE,ER_Name_Nom_RE,Low_Wage_Salaire_Minium,Median_Wage_Salaire_Median,High_Wage_Salaire_Maximal,Average_Wage_Salaire_Moyen,Data_Source_E,Data_Source_F,Reference_Period,Revision_Date_Date_revision,Annual_Wage_Flag_Salaire_annuel,Wage_Comment_E,Wage_Comment_F,Year,Wage_Comment_F1
2924,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,,ER00,National,18.46,35.58,69.23,39.68,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
2925,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,NL,ER10,Newfoundland and Labrador,15.0,25.48,48.08,29.45,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
2926,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,NL,ER1010,Avalon Peninsula,15.0,25.48,48.08,29.45,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
2927,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,NL,ER1020,South Coast--Burin Peninsula,13.7,27.88,41.96,30.41,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
2929,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,NL,ER1040,Notre Dame--Central Bonavista Bay,13.7,27.88,41.96,30.41,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
2930,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,PE,ER1110,Prince Edward Island,18.63,26.44,45.67,30.71,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
2931,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,NS,ER12,Nova Scotia,17.51,31.25,55.29,33.94,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
2932,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,NS,ER1210,Cape Breton,17.51,31.25,55.29,33.94,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
2933,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,NS,ER1220,North Shore,17.51,31.25,55.29,33.94,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
2934,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,NS,ER1230,Annapolis Valley,17.51,31.25,55.29,33.94,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
2935,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,NS,ER1240,Southern,17.51,31.25,55.29,33.94,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
2936,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,NS,ER1250,Halifax,22.5,34.07,59.62,37.63,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
2937,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,NB,ER13,New Brunswick,16.15,35.0,67.31,37.78,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
2938,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,NB,ER1310,Campbellton--Miramichi,16.15,35.0,67.31,37.78,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
2939,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de d̩tail et de gros,NB,ER1320,Moncton--Richibucto,16.15,35.0,67.31,37.78,Labour Force Survey,Enqu̻te sur la population active,2020-2021,2022-11-16,0,,,2018,
